schid,schname,keyword,keynum,monthorweek,index
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-03-31 - 2013-04-06,99
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-04-07 - 2013-04-13,96
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-04-14 - 2013-04-20,92
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-04-21 - 2013-04-27,98
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-04-28 - 2013-05-04,92
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-05-05 - 2013-05-11,94
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-05-12 - 2013-05-18,98
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-05-19 - 2013-05-25,99
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-05-26 - 2013-06-01,88
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-06-02 - 2013-06-08,93
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-06-09 - 2013-06-15,85
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-06-16 - 2013-06-22,87
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-06-23 - 2013-06-29,94
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-06-30 - 2013-07-06,91
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-07-07 - 2013-07-13,84
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-07-14 - 2013-07-20,88
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-07-21 - 2013-07-27,87
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-07-28 - 2013-08-03,89
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-08-04 - 2013-08-10,95
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-08-11 - 2013-08-17,100
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-08-18 - 2013-08-24,88
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-08-25 - 2013-08-31,83
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-09-01 - 2013-09-07,88
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-09-08 - 2013-09-14,84
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-09-15 - 2013-09-21,86
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-09-22 - 2013-09-28,96
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-09-29 - 2013-10-05,77
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-10-06 - 2013-10-12,71
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-10-13 - 2013-10-19,76
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-10-20 - 2013-10-26,68
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-10-27 - 2013-11-02,59
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-11-03 - 2013-11-09,52
1,university of phoenix - richmond - virginia beach campus,phoenix.edu,2,2013-11-10 - 2013-11-16,52
